incident_id,offense_id,offense_code,offense_code_extension,offense_type_id,offense_category_id,year,first_occurrence_date,last_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
2021405533,2.02141E+15,2399,0,theft-other,larceny,2021,7/16/2021,,7/16/2021,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022215088,2.02222E+15,2399,0,theft-other,larceny,2022,4/28/2022,,4/30/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022182492,2.02218E+15,2404,0,theft-of-motor-vehicle,auto-theft,2022,4/12/2022,4/13/2022,4/13/2022,LARIMER ST / 20TH ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2021617084,2.02162E+15,2404,0,theft-of-motor-vehicle,auto-theft,2021,10/29/2021,,10/29/2021,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2021684925,2.02168E+15,2404,0,theft-of-motor-vehicle,auto-theft,2021,12/3/2021,12/4/2021,12/5/2021,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2021371895,2.02137E+15,2404,0,theft-of-motor-vehicle,auto-theft,2021,6/30/2021,6/30/2021,6/30/2021,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022361778,2.02236E+15,2404,0,theft-of-motor-vehicle,auto-theft,2022,7/15/2022,7/16/2022,7/16/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022548126,2.02255E+15,5202,0,weapon-carrying-concealed,all-other-crimes,2022,10/23/2022,,10/23/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022548126,2.02255E+15,5203,0,weapon-carrying-prohibited,all-other-crimes,2022,10/23/2022,,10/23/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022548126,2.02255E+15,5299,0,weapon-other-viol,all-other-crimes,2022,10/23/2022,,10/23/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2022494869,2.02249E+15,1315,6,agg-aslt-shoot,aggravated-assault,2022,9/25/2022,,9/25/2022,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
202386793,2.02387E+14,1313,0,assault-simple,other-crimes-against-persons,2023,2/16/2023,,2/17/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023104342,2.0231E+15,1315,0,aggravated-assault,aggravated-assault,2023,2/26/2023,,2/27/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023181480,2.02318E+15,2404,0,theft-of-motor-vehicle,auto-theft,2023,4/8/2023,4/8/2023,4/8/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023209334,2.02321E+15,4899,0,police-interference,all-other-crimes,2023,4/23/2023,,4/23/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023209334,2.02321E+15,5311,0,public-fighting,all-other-crimes,2023,4/23/2023,,4/23/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023251752,2.02325E+15,4104,0,liquor-possession,drug-alcohol,2023,5/14/2023,,5/14/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023251752,2.02325E+15,5311,0,public-fighting,all-other-crimes,2023,5/14/2023,,5/14/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023261766,2.02326E+15,1315,0,aggravated-assault,aggravated-assault,2023,5/19/2023,,5/19/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023293089,2.02329E+15,4104,0,liquor-possession,drug-alcohol,2023,6/3/2023,,6/3/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023293089,2.02329E+15,4899,0,police-interference,all-other-crimes,2023,6/3/2023,,6/3/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023293089,2.02329E+15,5311,0,public-fighting,all-other-crimes,2023,6/3/2023,,6/3/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2023293089,2.02329E+15,1313,0,assault-simple,other-crimes-against-persons,2023,6/3/2023,,6/3/2023,20TH ST / LARIMER ST,3142665,1699538,-104.9926001,39.7529432,6,612,union-station,1,0,1
2021191612,2.02119E+15,1205,0,robbery-street,robbery,2021,4/4/2021,4/4/2021,4/4/2021,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2022494573,2.02249E+15,1205,0,robbery-street,robbery,2022,9/24/2022,9/24/2022,9/24/2022,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2019329058,2.01933E+15,1313,0,assault-simple,other-crimes-against-persons,2019,5/26/2019,,5/26/2019,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2021466668,2.02147E+15,1313,0,assault-simple,other-crimes-against-persons,2021,8/15/2021,8/15/2021,8/15/2021,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2021633033,2.02163E+15,1314,1,weapon-fire-into-occ-veh,aggravated-assault,2021,11/7/2021,,11/7/2021,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2022362804,2.02236E+15,1315,0,aggravated-assault,aggravated-assault,2022,7/17/2022,,7/17/2022,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2019565964,2.01957E+15,1315,0,aggravated-assault,aggravated-assault,2019,9/5/2019,,9/5/2019,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,2
2018623008,2.01862E+15,1315,0,aggravated-assault,aggravated-assault,2018,9/11/2018,,9/11/2018,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2022321702,2.02232E+15,2302,0,theft-purse-snatch-no-force,larceny,2022,6/25/2022,6/25/2022,6/25/2022,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2022575198,2.02258E+15,1315,0,aggravated-assault,aggravated-assault,2022,11/6/2022,,11/7/2022,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2023269746,2.02327E+15,2999,1,criminal-mischief-mtr-veh,public-disorder,2023,5/22/2023,,5/22/2023,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2023269746,2.02327E+15,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2023,5/22/2023,,5/22/2023,19TH ST / LARIMER ST,3142328,1699195,-104.9938055,39.7520068,6,612,union-station,1,0,1
2018355148,2.01836E+15,2999,2,criminal-mischief-graffiti,public-disorder,2018,5/27/2018,,5/28/2018,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2019182259,2.01918E+15,4899,0,police-interference,all-other-crimes,2019,3/23/2019,,3/23/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
